s,trip_seconds,trip_miles,fare,tips,tolls,trip_total,payment_type
198,1800.0,14.3,36.25,0.0,0.0,40.25,0
199,420.0,1.14,6.5,0.0,0.0,6.5,0
200,1140.0,5.4,15.65,0.0,0.0,16.65,0
201,420.0,0.1,7.75,0.0,0.0,8.75,0
202,1020.0,9.5,25.25,5.85,0.0,35.1,1
203,0.0,0.0,90.0,0.0,0.0,90.0,1
204,540.0,3.3,11.25,3.35,0.0,14.6,1
205,420.0,1.2,6.75,1.0,0.0,7.75,1
206,1140.0,0.0,12.0,0.0,0.0,13.5,0
207,300.0,1.0,6.25,1.0,0.0,7.25,1
208,2400.0,0.0,43.5,0.0,0.0,49.5,0
209,780.0,2.5,10.5,2.0,0.0,12.5,1
210,900.0,0.3,17.0,3.0,0.0,20.0,1
211,360.0,1.3,6.5,2.0,0.0,8.5,1
212,600.0,4.9,14.75,2.95,0.0,17.7,1
213,1620.0,5.1,19.0,0.0,0.0,19.0,0
214,960.0,2.0,10.25,0.0,0.0,11.75,0
215,660.0,0.0,11.25,0.0,0.0,13.25,0
216,600.0,0.0,13.75,0.0,0.0,13.75,0
217,660.0,1.1,9.25,0.0,0.0,9.25,0
218,1560.0,16.5,41.75,8.65,0.0,51.9,1
219,1140.0,1.4,11.0,0.0,0.0,11.0,0
220,660.0,0.0,9.0,2.0,0.0,11.0,1
221,180.0,0.0,4.75,0.0,0.0,4.75,0
222,360.0,0.36,5.75,2.0,0.0,7.75,1
223,960.0,3.6,13.25,2.65,0.0,15.9,1
224,2760.0,18.8,46.0,10.0,0.0,60.0,1
225,420.0,1.6,6.85,2.0,0.0,8.85,1
226,0.0,0.0,35.25,7.0,0.0,42.25,1
227,1500.0,15.7,40.0,8.0,0.0,48.0,1
228,0.0,0.0,9.5,1.9,0.0,11.4,1
229,540.0,2.3,9.25,0.0,0.0,11.75,0
230,540.0,1.5,7.75,3.0,0.0,11.75,1
231,1140.0,1.6,11.0,3.0,0.0,14.0,1
232,840.0,5.2,16.0,2.0,0.0,18.0,1
233,600.0,2.9,10.75,1.0,0.0,11.75,1
234,600.0,1.1,7.5,2.0,0.0,9.5,1
235,300.0,0.0,6.0,0.0,0.0,6.0,0
236,360.0,1.1,6.5,1.0,0.0,8.5,1
237,1020.0,7.1,20.25,0.0,0.0,20.25,0
238,600.0,1.7,8.5,0.0,0.0,9.5,0
239,480.0,1.32,7.25,2.0,0.0,9.25,1
240,1440.0,4.6,16.75,3.35,0.0,20.1,1
241,420.0,0.8,6.25,0.0,0.0,6.25,0
242,180.0,0.0,4.0,2.0,0.0,6.0,1
243,420.0,0.0,6.75,1.0,0.0,7.75,1
244,720.0,2.1,9.25,1.0,0.0,10.25,1
245,180.0,0.0,5.0,0.0,0.0,5.0,0
246,420.0,1.9,8.5,2.0,0.0,10.5,1
247,0.0,0.0,3.25,0.0,0.0,3.25,0
248,1740.0,19.9,48.25,0.0,0.0,52.25,0
249,420.0,1.2,6.75,0.0,0.0,6.75,0
250,1680.0,18.5,46.5,0.0,0.0,73.5,1
251,180.0,0.7,4.75,0.0,0.0,6.25,0
252,780.0,0.0,8.25,2.0,0.0,10.25,1
253,1800.0,18.71,47.0,5.0,0.0,56.0,1
254,960.0,8.1,22.25,6.65,0.0,28.9,1
255,240.0,0.9,5.75,1.0,0.0,6.75,1
256,360.0,1.4,6.75,2.0,0.0,8.75,1
257,480.0,1.4,7.75,2.0,0.0,9.75,1
258,480.0,1.2,7.0,0.0,0.0,7.0,0
259,0.0,0.0,15.25,3.05,0.0,18.3,1
260,600.0,5.2,15.5,0.0,0.0,15.5,0
261,300.0,1.5,6.75,2.0,0.0,8.75,1
262,120.0,0.6,4.5,2.0,0.0,7.5,1
263,420.0,0.88,6.5,4.0,0.0,10.5,1
264,0.0,0.0,8.25,1.65,0.0,9.9,1
265,120.0,0.7,4.75,0.0,0.0,4.75,0
266,180.0,0.3,4.25,3.0,0.0,7.25,1
267,540.0,1.5,7.75,0.0,0.0,9.25,0
268,0.0,0.0,36.0,6.0,0.0,42.0,1
269,0.0,0.0,10.5,2.1,0.0,12.6,1
270,540.0,0.0,8.75,0.0,0.0,8.75,0
271,300.0,0.0,5.5,0.0,0.0,5.5,0
272,1920.0,0.9,37.25,0.0,0.0,38.25,0
273,540.0,1.1,7.0,2.0,0.0,9.0,1
274,240.0,0.9,5.25,0.0,0.0,6.75,0
275,1380.0,9.2,26.0,0.0,0.0,26.0,0
276,1500.0,16.1,40.25,10.06,0.0,50.31,1
277,240.0,0.9,5.5,0.0,0.0,6.5,0
278,240.0,0.6,5.0,0.0,0.0,6.5,0
279,300.0,0.0,5.5,0.0,0.0,5.5,0
280,600.0,2.6,10.25,0.0,0.0,11.25,0
281,540.0,0.0,9.5,0.0,0.0,10.5,0
282,0.0,0.0,5.25,1.05,0.0,6.3,1
283,300.0,1.0,6.0,0.0,0.0,6.0,0
284,660.0,3.5,12.25,0.0,0.0,12.25,0
285,540.0,1.9,9.0,4.0,0.0,14.0,1
286,300.0,0.7,5.75,1.0,0.0,6.75,1
287,540.0,1.3,7.75,0.0,0.0,8.75,0
288,420.0,0.0,6.75,2.0,0.0,8.75,1
289,840.0,3.3,12.25,3.0,0.0,15.25,1
